Enlace,datos
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505220547&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505220219&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505214033&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505213730&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505213130&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505212904&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505183351&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505182621&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505181800&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505181503&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505174921&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505174349&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505173432&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505170344&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505164159&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505162630&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505161320&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505160944&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505160200&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505155109&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505154348&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505153513&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505153235&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505153043&lang=es,[]
